2024-07-25 09:29:10,Ролл с курицей,3,990
2024-07-25 09:38:41,Ташкентский чай,1,890
2024-07-25 09:47:15,Круассан с сыром,2,490
2024-07-25 11:09:23,Сникерс,1,300
2024-07-25 11:09:50,Ташкентский чай,0,890
2024-07-25 11:10:03,Марокканский чай,1,890
2024-07-25 11:18:59,Боул кур с рисом,1,1400
2024-07-25 11:21:07,Сок Иран,1,400
2024-07-25 11:24:41,Гранат,2,450
2024-07-25 12:36:47,Мохито,1,450
2024-07-25 12:39:37,Шоколад каз.,1,180
2024-07-25 12:42:47,Боржоми стекло,1,700
2024-07-25 12:44:05,Круассан с кур,1,990
2024-07-25 12:55:22,Боул кур с киноа,1,1680
2024-07-25 12:55:22,Боул кур с киноа,1,1680
2024-07-25 13:30:33,Ролл с курицей,1,990
2024-07-25 13:46:29,Круассан с кур,1,990
2024-07-25 13:49:45,Круассан с шоколад,1,490
2024-07-25 13:50:04,Сникерс,1,300
2024-07-25 13:54:22,Гранат,1,450
2024-07-25 13:54:32,Орешки 2 шт,1,220
2024-07-25 13:59:42,Мохито,1,450
2024-07-25 14:16:22,Боржоми стекло,1,700
2024-07-25 14:17:36,Боржоми стекло,1,700
2024-07-25 14:17:36,Боржоми стекло,1,700
2024-07-25 14:17:36,Мохито,1,450
2024-07-25 14:29:56,Натс,1,300
2024-07-25 14:37:44,Натс,1,300
2024-07-25 14:37:44,Гранат,1,450
2024-07-25 14:43:10,Твикс,1,300
2024-07-25 15:49:50,Боул кур с рисом,1,1400
2024-07-25 22:59:28,Тестовый,1,330
2024-07-25 22:59:35,Тестовый,1,330
2024-07-25 22:59:41,Тестовый,1,330
2024-07-25 22:59:45,Тестовый,1,330
2024-07-25 22:59:52,Тестовый,1,330
2024-07-26 14:38:22,Тестовый,3,330
2024-09-08 12:11:44,Боржоми пластик,1,600
